Namespace(num_runs=1, seed=0, val_size=0.1, num_val=3, num_runs_val=3, error_analysis=False, verbose=True, store=False, save_path=None, agent='ER', update='random', retrieve='random', optimizer='Adam', learning_rate=0.0001, epoch=1, batch=4, test_batch=128, weight_decay=0.0001, num_tasks=5, fix_order=True, plot_sample=False, data='cifar10', cl_type='nc', ns_factor=(0.0, 0.4, 0.8, 1.2, 1.6, 2.0, 2.4, 2.8, 3.2, 3.6), ns_type='noise', ns_task=(1, 1, 2, 2, 2, 2), online=True, mem_size=1000, eps_mem_batch=10, lambda_=100, alpha=0.9, fisher_update_after=50, subsample=50, gss_mem_strength=10, gss_batch_size=10, k=5, aser_type='asvm', n_smp_cls=2.0, stm_capacity=1000, classifier_chill=0.01, log_alpha=-300, minlr=0.0005, clip=10.0, mem_epoch=70, labels_trick=False, separated_softmax=False, kd_trick=False, kd_trick_star=False, review_trick=False, ncm_trick=False, mem_iters=1, min_delta=0.0, patience=0, cumulative_delta=False, temp=0.07, buffer_tracker=False, warmup=4, head='mlp', cuda=True)
Setting up data stream
Files already downloaded and verified
Files already downloaded and verified
data setup time: 1.1107656955718994
Task: 0, Labels:[0, 1]
Task: 1, Labels:[2, 3]
Task: 2, Labels:[4, 5]
Task: 3, Labels:[6, 7]
Task: 4, Labels:[8, 9]
buffer has 1000 slots
-----------run 0 training batch 0-------------
size: (10000, 32, 32, 3), (10000,)
==>>> it: 1, avg. loss: 1.744717, running train acc: 0.375
==>>> it: 1, mem avg. loss: 0.166591, running mem acc: 1.000
==>>> it: 101, avg. loss: 0.201512, running train acc: 0.929
==>>> it: 101, mem avg. loss: 0.139000, running mem acc: 0.969
==>>> it: 201, avg. loss: 0.144908, running train acc: 0.949
==>>> it: 201, mem avg. loss: 0.101935, running mem acc: 0.973
==>>> it: 301, avg. loss: 0.141216, running train acc: 0.954
==>>> it: 301, mem avg. loss: 0.094218, running mem acc: 0.974
==>>> it: 401, avg. loss: 0.122200, running train acc: 0.960
==>>> it: 401, mem avg. loss: 0.081145, running mem acc: 0.977
==>>> it: 501, avg. loss: 0.117618, running train acc: 0.960
==>>> it: 501, mem avg. loss: 0.079877, running mem acc: 0.977
==>>> it: 601, avg. loss: 0.109711, running train acc: 0.962
==>>> it: 601, mem avg. loss: 0.073123, running mem acc: 0.978
==>>> it: 701, avg. loss: 0.102397, running train acc: 0.964
==>>> it: 701, mem avg. loss: 0.068376, running mem acc: 0.978
==>>> it: 801, avg. loss: 0.106185, running train acc: 0.964
==>>> it: 801, mem avg. loss: 0.065203, running mem acc: 0.980
==>>> it: 901, avg. loss: 0.102153, running train acc: 0.965
==>>> it: 901, mem avg. loss: 0.061006, running mem acc: 0.981
==>>> it: 1001, avg. loss: 0.099963, running train acc: 0.966
==>>> it: 1001, mem avg. loss: 0.058554, running mem acc: 0.981
==>>> it: 1101, avg. loss: 0.097117, running train acc: 0.967
==>>> it: 1101, mem avg. loss: 0.055999, running mem acc: 0.982
==>>> it: 1201, avg. loss: 0.096017, running train acc: 0.967
==>>> it: 1201, mem avg. loss: 0.054328, running mem acc: 0.983
==>>> it: 1301, avg. loss: 0.094817, running train acc: 0.967
==>>> it: 1301, mem avg. loss: 0.053236, running mem acc: 0.983
==>>> it: 1401, avg. loss: 0.096782, running train acc: 0.966
==>>> it: 1401, mem avg. loss: 0.051661, running mem acc: 0.984
==>>> it: 1501, avg. loss: 0.097167, running train acc: 0.966
==>>> it: 1501, mem avg. loss: 0.052650, running mem acc: 0.983
==>>> it: 1601, avg. loss: 0.094762, running train acc: 0.967
==>>> it: 1601, mem avg. loss: 0.052692, running mem acc: 0.983
==>>> it: 1701, avg. loss: 0.093893, running train acc: 0.967
==>>> it: 1701, mem avg. loss: 0.050935, running mem acc: 0.984
==>>> it: 1801, avg. loss: 0.093721, running train acc: 0.967
==>>> it: 1801, mem avg. loss: 0.050226, running mem acc: 0.984
==>>> it: 1901, avg. loss: 0.092902, running train acc: 0.967
==>>> it: 1901, mem avg. loss: 0.050510, running mem acc: 0.984
==>>> it: 2001, avg. loss: 0.094074, running train acc: 0.967
==>>> it: 2001, mem avg. loss: 0.050730, running mem acc: 0.984
==>>> it: 2101, avg. loss: 0.092977, running train acc: 0.967
==>>> it: 2101, mem avg. loss: 0.049539, running mem acc: 0.984
==>>> it: 2201, avg. loss: 0.093580, running train acc: 0.967
==>>> it: 2201, mem avg. loss: 0.048978, running mem acc: 0.984
==>>> it: 2301, avg. loss: 0.092340, running train acc: 0.968
==>>> it: 2301, mem avg. loss: 0.047892, running mem acc: 0.984
==>>> it: 2401, avg. loss: 0.091714, running train acc: 0.968
==>>> it: 2401, mem avg. loss: 0.047282, running mem acc: 0.985
[0.986 0.    0.    0.    0.   ]
-----------run 0 training batch 1-------------
size: (10000, 32, 32, 3), (10000,)
==>>> it: 1, avg. loss: 10.577463, running train acc: 0.000
==>>> it: 1, mem avg. loss: 0.012279, running mem acc: 1.000
==>>> it: 101, avg. loss: 1.164806, running train acc: 0.608
==>>> it: 101, mem avg. loss: 0.457857, running mem acc: 0.851
==>>> it: 201, avg. loss: 0.904678, running train acc: 0.665
==>>> it: 201, mem avg. loss: 0.372420, running mem acc: 0.874
==>>> it: 301, avg. loss: 0.764700, running train acc: 0.716
==>>> it: 301, mem avg. loss: 0.312887, running mem acc: 0.896
==>>> it: 401, avg. loss: 0.685265, running train acc: 0.746
==>>> it: 401, mem avg. loss: 0.275426, running mem acc: 0.908
==>>> it: 501, avg. loss: 0.637644, running train acc: 0.762
==>>> it: 501, mem avg. loss: 0.242363, running mem acc: 0.918
==>>> it: 601, avg. loss: 0.597811, running train acc: 0.779
==>>> it: 601, mem avg. loss: 0.216767, running mem acc: 0.927
==>>> it: 701, avg. loss: 0.569784, running train acc: 0.789
==>>> it: 701, mem avg. loss: 0.201459, running mem acc: 0.931
==>>> it: 801, avg. loss: 0.550117, running train acc: 0.795
==>>> it: 801, mem avg. loss: 0.196985, running mem acc: 0.933
==>>> it: 901, avg. loss: 0.525301, running train acc: 0.806
==>>> it: 901, mem avg. loss: 0.186475, running mem acc: 0.937
==>>> it: 1001, avg. loss: 0.507720, running train acc: 0.812
==>>> it: 1001, mem avg. loss: 0.177413, running mem acc: 0.941
==>>> it: 1101, avg. loss: 0.490720, running train acc: 0.818
==>>> it: 1101, mem avg. loss: 0.173985, running mem acc: 0.942
==>>> it: 1201, avg. loss: 0.473749, running train acc: 0.823
==>>> it: 1201, mem avg. loss: 0.163954, running mem acc: 0.946
==>>> it: 1301, avg. loss: 0.458847, running train acc: 0.829
==>>> it: 1301, mem avg. loss: 0.158362, running mem acc: 0.948
==>>> it: 1401, avg. loss: 0.447833, running train acc: 0.833
==>>> it: 1401, mem avg. loss: 0.154374, running mem acc: 0.950
==>>> it: 1501, avg. loss: 0.439819, running train acc: 0.837
==>>> it: 1501, mem avg. loss: 0.149812, running mem acc: 0.951
==>>> it: 1601, avg. loss: 0.429872, running train acc: 0.839
==>>> it: 1601, mem avg. loss: 0.146851, running mem acc: 0.952
==>>> it: 1701, avg. loss: 0.421742, running train acc: 0.842
==>>> it: 1701, mem avg. loss: 0.143049, running mem acc: 0.954
==>>> it: 1801, avg. loss: 0.415808, running train acc: 0.844
==>>> it: 1801, mem avg. loss: 0.143112, running mem acc: 0.954
==>>> it: 1901, avg. loss: 0.409141, running train acc: 0.847
==>>> it: 1901, mem avg. loss: 0.140885, running mem acc: 0.955
==>>> it: 2001, avg. loss: 0.402125, running train acc: 0.850
==>>> it: 2001, mem avg. loss: 0.136786, running mem acc: 0.956
==>>> it: 2101, avg. loss: 0.395021, running train acc: 0.852
==>>> it: 2101, mem avg. loss: 0.133879, running mem acc: 0.957
==>>> it: 2201, avg. loss: 0.393475, running train acc: 0.853
==>>> it: 2201, mem avg. loss: 0.135230, running mem acc: 0.957
==>>> it: 2301, avg. loss: 0.390575, running train acc: 0.853
==>>> it: 2301, mem avg. loss: 0.133798, running mem acc: 0.958
==>>> it: 2401, avg. loss: 0.385569, running train acc: 0.855
==>>> it: 2401, mem avg. loss: 0.131125, running mem acc: 0.959
[0.7635 0.871  0.     0.     0.    ]
-----------run 0 training batch 2-------------
size: (10000, 32, 32, 3), (10000,)
==>>> it: 1, avg. loss: 12.354210, running train acc: 0.000
==>>> it: 1, mem avg. loss: 0.109630, running mem acc: 0.950
==>>> it: 101, avg. loss: 1.127880, running train acc: 0.664
==>>> it: 101, mem avg. loss: 0.556746, running mem acc: 0.794
==>>> it: 201, avg. loss: 0.852905, running train acc: 0.729
==>>> it: 201, mem avg. loss: 0.461662, running mem acc: 0.825
==>>> it: 301, avg. loss: 0.743393, running train acc: 0.767
==>>> it: 301, mem avg. loss: 0.407162, running mem acc: 0.844
==>>> it: 401, avg. loss: 0.662910, running train acc: 0.789
==>>> it: 401, mem avg. loss: 0.368572, running mem acc: 0.859
==>>> it: 501, avg. loss: 0.611857, running train acc: 0.798
==>>> it: 501, mem avg. loss: 0.343929, running mem acc: 0.871
==>>> it: 601, avg. loss: 0.561553, running train acc: 0.811
==>>> it: 601, mem avg. loss: 0.321210, running mem acc: 0.881
==>>> it: 701, avg. loss: 0.542453, running train acc: 0.817
==>>> it: 701, mem avg. loss: 0.312337, running mem acc: 0.883
==>>> it: 801, avg. loss: 0.506777, running train acc: 0.827
==>>> it: 801, mem avg. loss: 0.289018, running mem acc: 0.893
