Namespace(num_runs=1, seed=0, val_size=0.1, num_val=3, num_runs_val=3, error_analysis=False, verbose=True, store=False, save_path=None, agent='ER', update='random', retrieve='MIR', optimizer='Adam', learning_rate=0.0001, epoch=1, batch=4, test_batch=128, weight_decay=0.0001, num_tasks=5, fix_order=True, plot_sample=False, data='cifar10', cl_type='nc', ns_factor=(0.0, 0.4, 0.8, 1.2, 1.6, 2.0, 2.4, 2.8, 3.2, 3.6), ns_type='noise', ns_task=(1, 1, 2, 2, 2, 2), online=True, mem_size=1000, eps_mem_batch=10, lambda_=100, alpha=0.9, fisher_update_after=50, subsample=25, gss_mem_strength=10, gss_batch_size=10, k=5, aser_type='asvm', n_smp_cls=2.0, stm_capacity=1000, classifier_chill=0.01, log_alpha=-300, minlr=0.0005, clip=10.0, mem_epoch=70, labels_trick=False, separated_softmax=False, kd_trick=False, kd_trick_star=False, review_trick=False, ncm_trick=False, mem_iters=1, min_delta=0.0, patience=0, cumulative_delta=False, temp=0.07, buffer_tracker=False, warmup=4, head='mlp', cuda=True)
Setting up data stream
Files already downloaded and verified
Files already downloaded and verified
data setup time: 1.2297272682189941
Task: 0, Labels:[0, 1]
Task: 1, Labels:[2, 3]
Task: 2, Labels:[4, 5]
Task: 3, Labels:[6, 7]
Task: 4, Labels:[8, 9]
buffer has 1000 slots
-----------run 0 training batch 0-------------
size: (10000, 32, 32, 3), (10000,)
==>>> it: 1, avg. loss: 1.744717, running train acc: 0.375
==>>> it: 1, mem avg. loss: 0.166591, running mem acc: 1.000
==>>> it: 101, avg. loss: 0.328041, running train acc: 0.882
==>>> it: 101, mem avg. loss: 0.061430, running mem acc: 0.981
==>>> it: 201, avg. loss: 0.222056, running train acc: 0.921
==>>> it: 201, mem avg. loss: 0.059045, running mem acc: 0.980
==>>> it: 301, avg. loss: 0.177871, running train acc: 0.935
==>>> it: 301, mem avg. loss: 0.050186, running mem acc: 0.983
==>>> it: 401, avg. loss: 0.145098, running train acc: 0.949
==>>> it: 401, mem avg. loss: 0.043299, running mem acc: 0.985
==>>> it: 501, avg. loss: 0.148697, running train acc: 0.948
==>>> it: 501, mem avg. loss: 0.045312, running mem acc: 0.984
==>>> it: 601, avg. loss: 0.145187, running train acc: 0.948
==>>> it: 601, mem avg. loss: 0.043084, running mem acc: 0.985
==>>> it: 701, avg. loss: 0.135327, running train acc: 0.952
==>>> it: 701, mem avg. loss: 0.039986, running mem acc: 0.986
==>>> it: 801, avg. loss: 0.134032, running train acc: 0.952
==>>> it: 801, mem avg. loss: 0.040796, running mem acc: 0.985
==>>> it: 901, avg. loss: 0.125124, running train acc: 0.955
==>>> it: 901, mem avg. loss: 0.042627, running mem acc: 0.984
==>>> it: 1001, avg. loss: 0.134658, running train acc: 0.952
==>>> it: 1001, mem avg. loss: 0.040861, running mem acc: 0.985
==>>> it: 1101, avg. loss: 0.128667, running train acc: 0.953
==>>> it: 1101, mem avg. loss: 0.040215, running mem acc: 0.985
==>>> it: 1201, avg. loss: 0.127246, running train acc: 0.954
==>>> it: 1201, mem avg. loss: 0.038720, running mem acc: 0.986
==>>> it: 1301, avg. loss: 0.123489, running train acc: 0.956
==>>> it: 1301, mem avg. loss: 0.037083, running mem acc: 0.987
==>>> it: 1401, avg. loss: 0.123099, running train acc: 0.956
==>>> it: 1401, mem avg. loss: 0.037632, running mem acc: 0.987
==>>> it: 1501, avg. loss: 0.120530, running train acc: 0.957
==>>> it: 1501, mem avg. loss: 0.037526, running mem acc: 0.987
==>>> it: 1601, avg. loss: 0.115938, running train acc: 0.958
==>>> it: 1601, mem avg. loss: 0.036014, running mem acc: 0.987
==>>> it: 1701, avg. loss: 0.117479, running train acc: 0.957
==>>> it: 1701, mem avg. loss: 0.035914, running mem acc: 0.987
==>>> it: 1801, avg. loss: 0.116531, running train acc: 0.958
==>>> it: 1801, mem avg. loss: 0.035307, running mem acc: 0.988
==>>> it: 1901, avg. loss: 0.117526, running train acc: 0.957
==>>> it: 1901, mem avg. loss: 0.034809, running mem acc: 0.988
==>>> it: 2001, avg. loss: 0.117710, running train acc: 0.957
==>>> it: 2001, mem avg. loss: 0.034635, running mem acc: 0.988
==>>> it: 2101, avg. loss: 0.115615, running train acc: 0.958
==>>> it: 2101, mem avg. loss: 0.034381, running mem acc: 0.988
==>>> it: 2201, avg. loss: 0.113407, running train acc: 0.959
==>>> it: 2201, mem avg. loss: 0.034628, running mem acc: 0.988
==>>> it: 2301, avg. loss: 0.114933, running train acc: 0.958
==>>> it: 2301, mem avg. loss: 0.034384, running mem acc: 0.988
==>>> it: 2401, avg. loss: 0.114335, running train acc: 0.958
==>>> it: 2401, mem avg. loss: 0.033751, running mem acc: 0.988
[0.966 0.    0.    0.    0.   ]
-----------run 0 training batch 1-------------
size: (10000, 32, 32, 3), (10000,)
==>>> it: 1, avg. loss: 10.310366, running train acc: 0.000
==>>> it: 1, mem avg. loss: 0.032289, running mem acc: 1.000
==>>> it: 101, avg. loss: 1.305865, running train acc: 0.510
==>>> it: 101, mem avg. loss: 0.642571, running mem acc: 0.814
==>>> it: 201, avg. loss: 0.986696, running train acc: 0.626
==>>> it: 201, mem avg. loss: 0.463491, running mem acc: 0.861
==>>> it: 301, avg. loss: 0.847464, running train acc: 0.669
==>>> it: 301, mem avg. loss: 0.383624, running mem acc: 0.880
==>>> it: 401, avg. loss: 0.760384, running train acc: 0.704
==>>> it: 401, mem avg. loss: 0.333678, running mem acc: 0.893
==>>> it: 501, avg. loss: 0.703862, running train acc: 0.729
==>>> it: 501, mem avg. loss: 0.292599, running mem acc: 0.906
==>>> it: 601, avg. loss: 0.665941, running train acc: 0.743
==>>> it: 601, mem avg. loss: 0.267763, running mem acc: 0.912
==>>> it: 701, avg. loss: 0.628525, running train acc: 0.757
==>>> it: 701, mem avg. loss: 0.245483, running mem acc: 0.919
==>>> it: 801, avg. loss: 0.598681, running train acc: 0.770
==>>> it: 801, mem avg. loss: 0.228668, running mem acc: 0.924
==>>> it: 901, avg. loss: 0.571429, running train acc: 0.779
==>>> it: 901, mem avg. loss: 0.213401, running mem acc: 0.929
==>>> it: 1001, avg. loss: 0.544431, running train acc: 0.792
==>>> it: 1001, mem avg. loss: 0.203545, running mem acc: 0.933
==>>> it: 1101, avg. loss: 0.527882, running train acc: 0.799
==>>> it: 1101, mem avg. loss: 0.195572, running mem acc: 0.936
==>>> it: 1201, avg. loss: 0.517181, running train acc: 0.802
==>>> it: 1201, mem avg. loss: 0.190325, running mem acc: 0.938
==>>> it: 1301, avg. loss: 0.496615, running train acc: 0.809
==>>> it: 1301, mem avg. loss: 0.182570, running mem acc: 0.941
==>>> it: 1401, avg. loss: 0.480966, running train acc: 0.815
==>>> it: 1401, mem avg. loss: 0.175241, running mem acc: 0.944
==>>> it: 1501, avg. loss: 0.474231, running train acc: 0.818
==>>> it: 1501, mem avg. loss: 0.169017, running mem acc: 0.946
==>>> it: 1601, avg. loss: 0.463445, running train acc: 0.822
==>>> it: 1601, mem avg. loss: 0.164172, running mem acc: 0.947
==>>> it: 1701, avg. loss: 0.455468, running train acc: 0.826
==>>> it: 1701, mem avg. loss: 0.159800, running mem acc: 0.949
==>>> it: 1801, avg. loss: 0.446608, running train acc: 0.829
==>>> it: 1801, mem avg. loss: 0.155420, running mem acc: 0.950
==>>> it: 1901, avg. loss: 0.438215, running train acc: 0.832
==>>> it: 1901, mem avg. loss: 0.151650, running mem acc: 0.951
==>>> it: 2001, avg. loss: 0.430743, running train acc: 0.835
==>>> it: 2001, mem avg. loss: 0.147403, running mem acc: 0.953
==>>> it: 2101, avg. loss: 0.422198, running train acc: 0.838
==>>> it: 2101, mem avg. loss: 0.144351, running mem acc: 0.954
==>>> it: 2201, avg. loss: 0.417232, running train acc: 0.841
==>>> it: 2201, mem avg. loss: 0.140929, running mem acc: 0.955
==>>> it: 2301, avg. loss: 0.413145, running train acc: 0.842
==>>> it: 2301, mem avg. loss: 0.138872, running mem acc: 0.956
==>>> it: 2401, avg. loss: 0.408464, running train acc: 0.844
==>>> it: 2401, mem avg. loss: 0.136759, running mem acc: 0.957
[0.8495 0.88   0.     0.     0.    ]
-----------run 0 training batch 2-------------
size: (10000, 32, 32, 3), (10000,)
==>>> it: 1, avg. loss: 11.477745, running train acc: 0.000
==>>> it: 1, mem avg. loss: 0.109054, running mem acc: 0.950
==>>> it: 101, avg. loss: 1.185339, running train acc: 0.603
==>>> it: 101, mem avg. loss: 0.583253, running mem acc: 0.784
==>>> it: 201, avg. loss: 0.901180, running train acc: 0.687
==>>> it: 201, mem avg. loss: 0.466712, running mem acc: 0.825
==>>> it: 301, avg. loss: 0.808312, running train acc: 0.719
==>>> it: 301, mem avg. loss: 0.411126, running mem acc: 0.844
==>>> it: 401, avg. loss: 0.730111, running train acc: 0.749
==>>> it: 401, mem avg. loss: 0.367314, running mem acc: 0.863
==>>> it: 501, avg. loss: 0.671331, running train acc: 0.765
==>>> it: 501, mem avg. loss: 0.337442, running mem acc: 0.877
==>>> it: 601, avg. loss: 0.631689, running train acc: 0.779
==>>> it: 601, mem avg. loss: 0.311770, running mem acc: 0.887
==>>> it: 701, avg. loss: 0.597530, running train acc: 0.792
==>>> it: 701, mem avg. loss: 0.291361, running mem acc: 0.894
==>>> it: 801, avg. loss: 0.565679, running train acc: 0.801
==>>> it: 801, mem avg. loss: 0.277878, running mem acc: 0.900
